load_time,city,temperature,humidity,pressure
2026-06-13 19:31:56,Bengaluru,27.33,71,1010
2026-06-13 19:33:05,Bengaluru,27.33,71,1010
2026-06-13 19:34:42,Bengaluru,27.33,71,1010
